Rk,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,16,0,289,52,112,0.464,10,30,0.333,42,82,0.512,0.509,14,25,0.56,36,63,99,31,9,6,23,29,128,achiupr01
2,Bam Adebayo,C,26,16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356,adebaba01
3,Ochai Agbaji,SG,23,22,9,449,53,114,0.465,29,71,0.408,24,43,0.558,0.592,6,8,0.75,18,37,55,22,14,12,16,32,141,agbajoc01
4,Santi Aldama,PF,23,15,4,403,77,176,0.438,25,80,0.313,52,96,0.542,0.509,18,29,0.621,26,69,95,34,11,11,17,25,197,aldamsa01
5,Nickeil Alexander-Walker,SG,25,21,10,501,55,134,0.41,31,89,0.348,24,45,0.533,0.526,7,13,0.538,10,35,45,53,18,15,23,40,148,alexani01
6,Grayson Allen,SG,28,19,19,629,78,162,0.481,44,94,0.468,34,68,0.5,0.617,34,38,0.895,14,72,86,55,13,8,28,44,234,allengr01
7,Jarrett Allen,C,25,17,17,485,90,134,0.672,0,0,,90,134,0.672,0.672,41,57,0.719,52,89,141,38,10,17,30,47,221,allenja01
8,Jose Alvarado,PG,25,9,0,151,25,58,0.431,13,30,0.433,12,28,0.429,0.543,3,8,0.375,4,15,19,20,11,3,9,11,66,alvarjo01
9,Kyle Anderson,PF,30,21,0,503,57,123,0.463,2,18,0.111,55,105,0.524,0.472,36,52,0.692,16,63,79,83,16,19,33,30,152,anderky01
10,Giannis Antetokounmpo,PF,29,21,21,726,247,402,0.614,9,37,0.243,238,365,0.652,0.626,138,210,0.657,57,166,223,106,29,28,84,65,641,antetgi01
11,Thanasis Antetokounmpo,PF,31,8,0,47,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,3,2,5,4,2,1,4,7,8,antetth01
12,Cole Anthony,PG,23,22,0,571,112,248,0.452,31,85,0.365,81,163,0.497,0.514,84,99,0.848,24,78,102,79,16,12,44,67,339,anthoco01
13,OG Anunoby,SF,26,18,18,585,99,215,0.46,45,116,0.388,54,99,0.545,0.565,24,36,0.667,18,59,77,44,20,13,30,43,267,anunoog01
14,Ryan Arcidiacono,PG,29,6,0,13,0,1,0,0,1,0,0,0,,0,0,0,,0,3,3,1,1,0,0,0,0,arcidry01
15,Deni Avdija,SF,23,21,21,564,102,194,0.526,21,60,0.35,81,134,0.604,0.58,31,38,0.816,25,90,115,82,18,8,29,47,256,avdijde01
16,Deandre Ayton,C,25,18,18,575,108,184,0.587,0,0,,108,184,0.587,0.587,17,21,0.81,56,138,194,28,22,13,35,46,233,aytonde01
17,Udoka Azubuike,C,24,2,0,9,1,1,1,0,0,,1,1,1,1,0,0,,0,4,4,0,0,0,0,1,2,azubuud01
18,Marvin Bagley III,C,24,20,7,366,77,134,0.575,1,5,0.2,76,129,0.589,0.578,41,48,0.854,37,59,96,23,2,12,26,30,196,baglema01
19,Amari Bailey,PG,19,1,0,3,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2,baileam01
20,Patrick Baldwin Jr.,SF,21,4,0,15,0,5,0,0,1,0,0,4,0,0,0,0,,2,3,5,1,0,1,0,1,0,baldwpa01
21,LaMelo Ball,PG,22,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370,ballla01
22,Mo Bamba,C,25,10,0,62,13,25,0.52,3,7,0.429,10,18,0.556,0.58,6,8,0.75,13,11,24,1,1,7,7,8,35,bambamo01
23,Paolo Banchero,PF,21,22,22,736,166,336,0.494,28,69,0.406,138,267,0.517,0.536,96,140,0.686,28,119,147,100,23,13,65,52,456,banchpa01
24,Desmond Bane,SG,25,21,21,718,189,406,0.466,70,182,0.385,119,224,0.531,0.552,69,80,0.863,19,73,92,108,27,16,59,66,517,banede01
25,Dalano Banton,PG,24,11,1,91,13,27,0.481,1,7,0.143,12,20,0.6,0.5,5,6,0.833,10,15,25,5,2,2,5,12,32,bantoda01
26,Dominick Barlow,PF,20,7,0,35,3,7,0.429,0,0,,3,7,0.429,0.429,2,4,0.5,0,5,5,0,1,0,0,2,8,barlodo01
27,Harrison Barnes,PF,31,20,20,632,79,170,0.465,35,94,0.372,44,76,0.579,0.568,41,50,0.82,19,51,70,30,16,3,16,21,234,barneha02
28,Scottie Barnes,SG,22,22,22,766,163,348,0.468,44,115,0.383,119,233,0.511,0.532,65,87,0.747,60,142,202,124,38,28,54,45,435,barnesc01
29,RJ Barrett,SG,23,16,16,473,104,243,0.428,31,81,0.383,73,162,0.451,0.492,67,79,0.848,11,51,62,42,8,3,30,22,306,barrerj01
30,Charles Bassey,C,23,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63,bassech01
31,Emoni Bates,SF,20,7,0,52,4,15,0.267,3,12,0.25,1,3,0.333,0.367,1,2,0.5,1,8,9,2,1,1,1,2,12,batesem01
32,Keita Bates-Diop,SF,28,19,8,356,38,93,0.409,10,36,0.278,28,57,0.491,0.462,23,32,0.719,20,43,63,18,12,15,4,19,109,bateske01
33,Nicolas Batum,PF,35,15,9,369,32,56,0.571,23,45,0.511,9,11,0.818,0.777,7,11,0.636,15,43,58,30,9,11,7,30,94,batumni01
34,Nicolas Batum,PF,35,3,0,54,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,0,7,7,5,3,4,1,5,8,batumni01
35,Nicolas Batum,PF,35,12,9,315,29,48,0.604,21,38,0.553,8,10,0.8,0.823,7,11,0.636,15,36,51,25,6,7,6,25,86,batumni01
